Date,Open,High,Low,Close,Adj Close,Volume
2022-02-24,411.019989,428.760010,410.640015,428.299988,415.152740,213942900
2022-02-25,429.609985,437.839996,427.859985,437.750000,424.312653,121804500
2022-02-28,432.029999,438.200012,430.700012,436.630005,423.227020,145615000
2022-03-01,435.040009,437.170013,427.109985,429.980011,416.781219,137785900
2022-03-02,432.369995,439.720001,431.570007,437.890015,424.448364,117726500
2022-03-03,440.470001,441.109985,433.799988,435.709991,422.335266,105501700
2022-03-04,431.750000,433.369995,427.880005,432.170013,418.903961,113978200
2022-03-07,431.549988,432.299988,419.359985,419.429993,406.555023,137896600
2022-03-08,419.619995,427.209991,415.119995,416.250000,403.472595,164772700
2022-03-09,425.140015,429.510010,422.820007,427.410004,414.290039,116990800
2022-03-10,422.519989,426.429993,420.440002,425.480011,412.419281,93972700
2022-03-11,428.119995,428.769989,419.529999,420.070007,407.175354,95636300
2022-03-14,420.890015,424.549988,415.790009,417.000000,404.199585,95729200
2022-03-15,419.769989,426.839996,418.420013,426.170013,413.088135,106219100
2022-03-16,429.890015,435.679993,424.799988,435.619995,422.248016,144954800
2022-03-17,433.589996,441.070007,433.190002,441.070007,427.530701,102676900
2022-03-18,438.000000,444.859985,437.220001,444.519989,432.213379,106345500
2022-03-21,444.339996,446.459991,440.679993,444.390015,432.086975,88349800
2022-03-22,445.859985,450.579987,445.859985,449.589996,437.143036,74650400
2022-03-23,446.910004,448.489990,443.709991,443.799988,431.513275,79426100
2022-03-24,445.940002,450.500000,444.760010,450.489990,438.018066,64736900
2022-03-25,451.160004,452.980011,448.429993,452.690002,440.157196,77101300
2022-03-28,452.059998,455.910004,450.059998,455.910004,443.288025,68529800
2022-03-29,460.019989,462.070007,457.179993,461.549988,448.771881,86581500
2022-03-30,460.339996,461.200012,456.470001,458.700012,446.000824,79666900
2022-03-31,457.890015,458.760010,451.160004,451.640015,439.136292,121699900
2022-04-01,453.309998,453.459991,449.140015,452.920013,440.380859,89048800
2022-04-04,453.130005,456.910004,452.260010,456.799988,444.153381,59601000
2022-04-05,455.220001,457.829987,449.820007,451.029999,438.543091,74214500
2022-04-06,446.890015,448.929993,443.470001,446.519989,434.157990,106898000
2022-04-07,445.589996,450.690002,443.529999,448.769989,436.345703,78097200
2022-04-08,447.970001,450.630005,445.940002,447.570007,435.178986,79272700
2022-04-11,444.109985,445.000000,439.390015,439.920013,427.740723,89770500
2022-04-12,443.079987,445.750000,436.649994,438.290009,426.155884,84363600
2022-04-13,438.029999,444.109985,437.839996,443.309998,431.036865,74070400
2022-04-14,443.549988,444.730011,437.679993,437.790009,425.669739,97869500
2022-04-18,436.809998,439.750000,435.609985,437.970001,425.844757,66002500
2022-04-19,437.859985,445.799988,437.679993,445.040009,432.718994,77821000
