Date,Open,High,Low,Close,Adj Close,Volume
2023-02-24,395.420013,397.250000,393.640015,396.380005,390.445740,108194400
2023-02-27,399.869995,401.290009,396.750000,397.730011,391.775543,80444700
2023-02-28,397.230011,399.279999,396.149994,396.260010,390.327545,96438600
2023-03-01,395.410004,396.690002,393.380005,394.739990,388.830292,99706800
2023-03-02,392.679993,398.690002,392.329987,397.809998,391.854340,85127800
2023-03-03,399.709991,404.450012,399.029999,404.190002,398.138855,90120000
2023-03-06,405.049988,407.450012,404.010010,404.470001,398.414673,72795900
2023-03-07,404.420013,404.670013,397.630005,398.269989,392.307434,108310600
2023-03-08,398.390015,399.709991,396.589996,398.920013,392.947723,74746600
2023-03-09,399.739990,401.480011,390.529999,391.559998,385.697906,111945300
2023-03-10,390.989990,393.160004,384.320007,385.910004,380.132507,189253000
2023-03-13,381.809998,390.390015,380.649994,385.359985,379.590698,157790000
2023-03-14,390.500000,393.450012,387.049988,391.730011,385.865356,149752400
2023-03-15,385.890015,389.489990,383.709991,389.279999,383.452026,172996900
2023-03-16,386.820007,396.470001,386.290009,396.109985,390.179779,143254200
2023-03-17,393.220001,394.399994,388.549988,389.989990,385.617523,140553400
2023-03-20,390.799988,394.170013,390.070007,393.739990,389.325470,93055800
2023-03-21,397.239990,399.410004,395.579987,398.910004,394.437531,91524200
2023-03-22,398.730011,402.489990,392.070007,392.109985,387.713745,111746600
2023-03-23,395.089996,399.290009,390.350006,393.170013,388.761871,119351300
2023-03-24,391.839996,395.839996,389.399994,395.750000,391.312927,107682400
2023-03-27,398.119995,398.920013,395.559998,396.489990,392.044647,74010400
2023-03-28,395.769989,396.489990,393.690002,395.600006,391.164642,62871700
2023-03-29,399.929993,401.600006,398.679993,401.350006,396.850159,77497900
2023-03-30,404.089996,404.350006,401.760010,403.700012,399.173859,69840000
2023-03-31,404.660004,409.700012,404.549988,409.390015,404.800049,112062600
2023-04-03,408.850006,411.369995,408.440002,410.950012,406.342560,67391100
2023-04-04,411.619995,411.920013,407.239990,408.670013,404.088074,66601500
2023-04-05,407.910004,408.700012,405.880005,407.600006,403.030090,65200200
2023-04-06,406.769989,409.480011,405.679993,409.190002,404.602295,63743300
2023-04-10,406.609985,409.690002,405.970001,409.609985,405.017548,63681000
2023-04-11,410.260010,411.179993,408.920013,409.720001,405.126343,59297900
2023-04-12,411.869995,412.170013,407.440002,408.049988,403.475037,86420400
2023-04-13,409.179993,413.839996,407.989990,413.470001,408.834290,85814800
2023-04-14,412.809998,415.089996,410.059998,412.459991,407.835602,78161500
2023-04-17,412.369995,413.959991,411.089996,413.940002,409.299011,66436400
2023-04-18,415.579987,415.720001,412.779999,414.209991,409.565979,63560000
2023-04-19,412.220001,415.079987,412.160004,414.140015,409.496796,55227300
2023-04-20,411.209991,413.700012,410.269989,411.880005,407.262115,75840400
2023-04-21,412.190002,412.679993,410.170013,412.200012,407.578522,73457400
2023-04-24,411.989990,413.070007,410.600006,412.630005,408.003693,64332100
2023-04-25,410.579987,411.160004,406.019989,406.079987,401.527100,97766700
2023-04-26,406.720001,407.839996,403.779999,404.359985,399.826416,80447000
2023-04-27,407.000000,412.690002,406.739990,412.410004,407.786163,92968400
2023-04-28,411.489990,415.940002,411.429993,415.929993,411.266724,89335600
2023-05-01,415.470001,417.619995,415.269989,415.510010,410.851410,62122300
2023-05-02,414.769989,414.820007,407.820007,410.839996,406.233734,103998500
2023-05-03,411.359985,413.869995,407.769989,408.019989,403.445374,91531800
2023-05-04,406.929993,407.269989,403.739990,405.130005,400.587769,94901900
2023-05-05,408.910004,413.720001,408.640015,412.630005,408.003693,87844000
2023-05-08,412.970001,413.239990,411.279999,412.739990,408.112488,50046800
2023-05-09,411.130005,412.089996,410.690002,410.929993,406.322723,49220100
2023-05-10,413.880005,414.540009,408.869995,412.850006,408.221222,96142900
2023-05-11,411.950012,412.429993,409.970001,412.130005,407.509308,70157100
2023-05-12,413.420013,413.640015,409.070007,411.589996,406.975342,70439400
2023-05-15,412.220001,413.429993,410.230011,413.010010,408.379456,54289400
2023-05-16,411.859985,412.820007,410.239990,410.250000,405.650360,57705500
2023-05-17,412.350006,415.859985,410.640015,415.230011,410.574554,87287000
2023-05-18,414.899994,419.670013,414.670013,419.230011,414.529694,97177200
2023-05-19,420.170013,420.720001,417.350006,418.619995,413.926544,103679700
2023-05-22,418.640015,420.390015,417.350006,418.790009,414.094604,60745400
2023-05-23,417.079987,418.720001,413.679993,414.089996,409.447327,86383500
2023-05-24,412.420013,412.820007,409.880005,411.089996,406.480957,89213700
2023-05-25,414.739990,416.160004,412.410004,414.649994,410.001038,90961600
2023-05-26,415.329987,420.769989,415.250000,420.019989,415.310822,93830000
2023-05-30,422.029999,422.579987,418.739990,420.179993,415.469025,72216000
2023-05-31,418.279999,419.220001,416.220001,417.850006,413.165192,110811800
2023-06-01,418.089996,422.920013,416.790009,421.820007,417.090668,88865000
2023-06-02,424.500000,428.739990,423.950012,427.920013,423.122284,91366700
2023-06-05,428.279999,429.619995,426.369995,427.100006,422.311462,65460200
2023-06-06,426.670013,428.579987,425.989990,428.029999,423.231049,64022200
2023-06-07,428.440002,429.619995,426.109985,426.549988,421.767609,85373300
2023-06-08,426.619995,429.600006,425.820007,429.130005,424.318695,61952800
2023-06-09,429.959991,431.989990,428.869995,429.899994,425.080048,85742800
2023-06-12,430.920013,433.880005,430.170013,433.799988,428.936340,76104300
2023-06-13,435.320007,437.329987,434.630005,436.660004,431.764313,95899700
2023-06-14,437.010010,439.059998,433.589996,437.179993,432.278442,100612100
2023-06-15,436.329987,443.899994,436.230011,442.600006,437.637695,110303100
2023-06-16,443.019989,443.609985,438.970001,439.459991,436.146973,114121300
2023-06-20,437.450012,438.369995,435.029999,437.179993,433.884186,76160400
2023-06-21,436.160004,436.989990,434.329987,434.940002,431.661072,76982300
2023-06-22,433.950012,436.619995,433.600006,436.510010,433.219269,70637200
2023-06-23,432.929993,435.059998,432.470001,433.209991,429.944092,92074500
2023-06-26,432.619995,434.609985,431.190002,431.440002,428.187469,72823600
2023-06-27,432.350006,436.809998,431.880005,436.170013,432.881836,72813700
2023-06-28,435.049988,437.440002,434.410004,436.390015,433.100189,75636000
2023-06-29,435.959991,438.279999,435.540009,438.109985,434.807159,67882300
